Folder,File,MFCCs,ZCR,PitchMean,PitchStd,SpectralCentroid,SpectralBandwidth,SpectralRolloff,Harmonic,Percussive
An individual_s culture,citizen_audio_0c4e7b6c-6f28-4efa-bc30-85fefb055b2b.wav,"[-417.2816162109375, 102.06086730957031, -14.07349681854248, 5.115187644958496, 14.426612854003906, -10.335944175720215, -12.294759750366211, -16.99243927001953, -14.431772232055664, -4.748556137084961, -11.881965637207031, -11.049921989440918, -4.76261043548584]",0.04910572020395156,23.07002067565918,240.0517578125,2257.883306494788,2060.0437766130476,4226.891132887189,9.899859065853889e-08,-2.203684061896638e-06
An individual_s culture,citizen_audio_9eb31fe4-a6ab-448e-843a-02424613e681.wav,"[-435.16082763671875, 78.99700927734375, 3.911693572998047, 15.413264274597168, 7.369833469390869, 3.855637788772583, -5.9889020919799805, -17.672435760498047, -12.829015731811523, -17.130474090576172, -18.129501342773438, -14.509539604187012, -11.500015258789062]",0.06359225966365462,18.777498245239258,206.81906127929688,2337.9711286853367,2273.2209993542174,3923.998075635877,-2.9614019569912386e-10,-3.3344488059583455e-08
An individual_s culture,citizen_audio_0a66b438-9651-4748-ae5e-33db97b7b5c0.wav,"[-379.76568603515625, 68.33409118652344, 4.213817119598389, 12.552274703979492, 14.416112899780273, 12.20339584350586, -4.31837272644043, -8.984416961669922, -22.39349937438965, -13.717177391052246, -9.47047233581543, -9.644947052001953, -17.148469924926758]",0.09294387849149896,17.62338638305664,204.49118041992188,3704.078312702635,3660.6352829238926,6986.0375620771165,2.5684329330033506e-08,1.624666992938728e-06
An individual_s culture,citizen_audio_459d5457-2a8e-4812-bbd3-de9cb15b9094.wav,"[-432.5489196777344, 92.15762329101562, 20.1794490814209, 9.4573974609375, -7.607847690582275, -3.846644639968872, -21.053346633911133, -13.906919479370117, -14.482771873474121, -6.209208965301514, -10.876620292663574, -4.007178783416748, -6.896213054656982]",0.10102847279900332,23.37590217590332,238.21572875976562,3225.8660704798385,3110.683167850391,5618.906931322675,-3.891307471803884e-07,8.541442184650805e-06
An individual_s culture,citizen_audio_11ebd1b3-b4b1-4b04-a134-a958feae4cdc.wav,"[-399.8691711425781, 108.3124008178711, 1.8114701509475708, 23.351701736450195, 11.353886604309082, 0.3568599224090576, 2.394916534423828, -5.290872097015381, -4.607202053070068, -11.700536727905273, -4.2110676765441895, 2.653167247772217, -11.805648803710938]",0.0641098547511911,16.765066146850586,197.13343811035156,2234.249641209857,2135.525106731218,3946.2471876654313,1.2312795227842344e-09,2.314260854063832e-07
An individual_s culture,citizen_audio_2bd82592-e0b8-426b-8b3c-50d8589708f6.wav,"[-391.2489929199219, 58.76569366455078, -14.829865455627441, 11.335550308227539, 3.965141773223877, -1.3580570220947266, -3.3760387897491455, -5.9526777267456055, -7.403287410736084, -14.59818172454834, -6.477757453918457, -10.128120422363281, -14.549306869506836]",0.08513107346524801,28.801864624023438,270.17535400390625,3083.771216950853,2648.903797493133,5383.118684935701,-6.278889075339578e-10,-3.203732603651588e-06
An individual_s culture,citizen_audio_12175079-597a-4854-a039-2cf3ad937bc2.wav,"[-382.3475646972656, 132.1494598388672, -15.487789154052734, 24.24590492248535, 27.217239379882812, -1.3150581121444702, 13.07278823852539, -5.7338666915893555, -13.511590957641602, 8.661002159118652, -4.211836814880371, -11.549443244934082, -0.2505798637866974]",0.042085562928082194,15.796309471130371,196.86744689941406,1780.7248878744924,1592.7393179521764,3227.4015410958905,-4.3040369490654484e-08,-3.217208359274082e-05
An individual_s culture,citizen_audio_64b6d0cd-237a-481e-888e-6ac308d2b83a.wav,"[-430.11553955078125, 95.0882797241211, -7.327237129211426, 7.490678787231445, -1.0099618434906006, 6.175830364227295, -11.845595359802246, -31.251590728759766, -10.989346504211426, -13.968847274780273, -10.518310546875, -7.121368408203125, -16.67822265625]",0.0657396654466967,15.42321491241455,179.5946502685547,2447.3952989563827,2414.830217722446,4196.579391891892,7.385055234010451e-09,8.670567694935016e-07
An individual_s culture,citizen_audio_0413c4f8-2eef-4c15-8a68-88db002575a2.wav,"[-382.1803283691406, 115.28199005126953, -8.932511329650879, 12.494709014892578, -1.248803973197937, 9.611149787902832, -1.820008397102356, -17.169387817382812, -13.433849334716797, -18.062166213989258, -7.425084114074707, -13.564404487609863, -8.793915748596191]",0.0754419946991733,22.171388626098633,218.8594970703125,2495.547993994709,2211.5837156262687,4232.901484996938,-4.62140548052048e-09,1.2439928696039715e-06
An individual_s culture,citizen_audio_630e0f8e-4c1b-4413-b054-cb8a275bc9de.wav,"[-426.5503234863281, 95.8133773803711, 9.9829683303833, 15.527342796325684, -17.6950740814209, -6.910059452056885, -8.913800239562988, -16.12163543701172, -0.1931198090314865, -7.763772010803223, -10.190784454345703, -9.323023796081543, -2.2337417602539062]",0.07174022631850324,19.5210018157959,208.28067016601562,2655.58708719115,2575.175712566212,4619.673504714202,-4.2812828282556836e-10,4.901099259768671e-07
